pin_code,Total Schools,Total Public Schools,Total Private Schools
473446,253,221,32
454111,253,196,57
331803,253,113,140
271403,253,161,92
791118,252,225,27
783331,252,187,65
585102,252,103,149
431514,252,197,55
242307,252,169,83
242042,252,179,73
127021,252,103,149
824201,251,203,48
791122,251,225,26
782121,251,220,31
497339,251,218,33
431517,251,196,55
424304,251,233,18
312604,251,212,39
301411,251,160,91
272001,251,148,103
811308,250,223,27
488220,250,209,41
482003,250,180,70
461228,250,184,66
444505,250,189,61
341508,250,146,104
227405,250,158,92
854329,249,207,42
481672,249,239,10
342027,249,152,97
301402,249,142,107
281306,249,145,104
231210,249,188,61
182315,249,238,11
816106,248,224,24
781126,248,164,84
385330,248,208,40
313324,248,160,88
272205,248,203,45
243641,248,209,39
173001,248,214,34
845437,247,208,39
341510,247,141,106
335707,247,172,75
233304,247,130,117
229402,247,197,50
126102,247,120,127
854105,246,122,124
814101,246,174,72
799102,246,217,29
788724,246,189,57
480667,246,197,49
328021,246,158,88
135001,246,118,128
788819,245,227,18
573211,245,223,22
493338,245,218,27
485446,245,180,65
485226,245,200,45
431103,245,211,34
412206,245,238,7
401602,245,231,14
305801,245,88,157
261204,245,199,46
222143,245,114,131
205121,245,184,61
124001,245,71,174
822124,244,202,42
814150,244,224,20
801302,244,185,59
493890,244,234,10
445204,244,216,28
273155,244,170,74
782126,243,214,29
496225,243,226,17
391150,243,233,10
284002,243,66,177
207301,243,147,96
835210,242,194,48
821109,242,208,34
494223,242,235,7
485331,242,201,41
282010,242,58,184
227409,242,183,59
814103,241,228,13
790102,241,221,20
481666,241,235,6
476332,241,223,18
847408,240,216,24
825418,240,171,69
803110,240,203,37
783372,240,196,44
496331,240,212,28
484110,240,211,29
481105,240,231,9
391165,240,225,15
284126,240,204,36
274407,240,190,50
244412,240,135,105
241402,240,167,73
210208,240,208,32
843329,239,214,25
813101,239,211,28
488442,239,207,32
461001,239,97,142
855115,238,229,9
852128,238,187,51
801303,238,200,38
793115,238,189,49
784509,238,215,23
783126,238,209,29
782127,238,219,19
495690,238,209,29
494450,238,233,5
491228,238,217,21
484770,238,223,15
480221,238,208,30
470226,238,204,34
465447,238,155,83
425405,238,215,23
273402,238,179,59
244402,238,154,84
244102,238,180,58
225301,238,161,77
212107,238,155,83
185102,238,220,18
852113,237,148,89
816109,237,189,48
476355,237,224,13
470227,237,191,46
465337,237,139,98
444303,237,179,58
442908,237,205,32
416404,237,215,22
331022,237,134,103
304021,237,159,78
247662,237,148,89
193225,237,221,16
465691,236,183,53
451228,236,187,49
424306,236,223,13
360003,236,63,173
344031,236,202,34
263148,236,149,87
261501,236,184,52
241204,236,159,77
193122,236,211,25
181102,236,139,97
822116,235,186,49
788164,235,138,97
491666,235,227,8
471515,235,200,35
451113,235,204,31
342303,235,179,56
312001,235,83,152
283110,235,148,87
244255,235,176,59
242226,235,181,54
194103,235,197,38
841426,234,187,47
825321,234,187,47
784507,234,176,58
581115,234,160,74
461441,234,199,35
441614,234,196,38
413606,234,200,34
370165,234,223,11
345021,234,175,59
333001,234,103,131
243633,234,160,74
222202,234,114,120
848114,233,205,28
845106,233,195,38
494776,233,208,25
480887,233,216,17
382721,233,124,109
342601,233,144,89
262523,233,203,30
251201,233,115,118
585302,232,153,79
226104,232,172,60
207403,232,149,83
825324,231,180,51
784168,231,167,64
471405,231,193,38
453551,231,145,86
451442,231,213,18
271207,231,186,45
221711,231,147,84
782480,230,187,43
481331,230,158,72
431542,230,201,29
414102,230,203,27
396065,230,221,9
322001,230,112,118
221401,230,99,131
813105,229,210,19
585403,229,122,107
483225,229,181,48
444001,229,155,74
303901,229,154,75
246722,229,131,98
242127,229,149,80
228161,229,142,87
854312,228,207,21
791102,228,194,34
784165,228,203,25
577522,228,184,44
560064,228,66,162
494552,228,228,0
470113,228,166,62
314022,228,206,22
271875,228,198,30
228131,228,149,79
222142,228,131,97
206131,228,202,26
121103,228,161,67
847203,227,207,20
845105,227,184,43
833104,227,212,15
825320,227,168,59
485771,227,176,51
431131,227,195,32
229404,227,146,81
212201,227,143,84
193401,227,188,39
134003,227,151,76
855117,226,213,13
795142,226,176,50
788830,226,210,16
480884,226,197,29
360311,226,123,103
261207,226,163,63
232104,226,145,81
223221,226,132,94
212207,226,151,75
125033,226,129,97
783127,225,120,105
491337,225,190,35
484669,225,221,4
481001,225,131,94
471201,225,141,84
342311,225,175,50
271208,225,182,43
844122,224,187,37
495442,224,189,35
480886,224,188,36
470001,224,108,116
363621,224,176,48
344502,224,214,10
312601,224,118,106
828201,223,178,45
782125,223,174,49
442606,223,216,7
413531,223,185,38
251309,223,108,115
249165,223,198,25
224141,223,128,95
222203,223,106,117
207246,223,137,86
122107,223,174,49
249155,222,178,44
212655,222,153,69
210202,222,195,27
851204,221,197,24
805130,221,182,39
783380,221,180,41
562117,221,187,34
470335,221,183,38
431112,221,169,52
344035,221,204,17
274203,221,168,53
272206,221,184,37
272131,221,135,86
835207,220,151,69
814151,220,206,14
804451,220,202,18
486771,220,168,52
226003,220,64,156
221007,220,68,152
193123,220,204,16
852219,219,207,12
821108,219,197,22
815317,219,196,23
562123,219,163,56
493554,219,199,20
477660,219,181,38
414502,219,189,30
277303,219,154,65
271312,219,159,60
854330,218,195,23
495113,218,198,20
493992,218,194,24
486226,218,181,37
480111,218,197,21
473775,218,190,28
451556,218,192,26
431127,218,182,36
410505,218,182,36
360002,218,49,169
323024,218,153,65
303313,218,109,109
303301,218,134,84
273413,218,160,58
244712,218,151,67
225124,218,174,44
845454,217,168,49
824124,217,179,38
823001,217,110,107
495554,217,162,55
494670,217,205,12
452016,217,101,116
451335,217,182,35
361305,217,142,75
281403,217,99,118
276202,217,118,99
271871,217,163,54
843128,216,197,19
793116,216,155,61
262401,216,145,71
207249,216,141,75
192221,216,180,36
828205,215,182,33
782122,215,173,42
585103,215,80,135
495116,215,204,11
491993,215,198,17
443201,215,184,31
313701,215,191,24
249161,215,191,24
247342,215,114,101
246734,215,121,94
241126,215,124,91
206302,215,111,104
174101,215,161,54
496111,214,202,12
326023,214,158,56
273306,214,101,113
209722,214,90,124
821101,213,168,45
813104,213,191,22
495446,213,197,16
491331,213,185,28
313802,213,184,29
312023,213,175,38
303108,213,92,121
241503,213,162,51
231302,213,166,47
224204,213,121,92
224147,213,124,89
835201,212,197,15
811201,212,168,44
803201,212,176,36
784522,212,168,44
577201,212,109,103
561207,212,165,47
481662,212,205,7
454116,212,174,38
423106,212,195,17
262903,212,153,59
247661,212,122,90
205122,212,128,84
825406,211,144,67
583227,211,114,97
491661,211,195,16
413520,211,183,28
384265,211,149,62
311301,211,158,53
284205,211,159,52
273162,211,175,36
272301,211,155,56
246731,211,146,65
244242,211,142,69
231303,211,148,63
210125,211,196,15
205264,211,131,80
845453,210,176,34
828134,210,188,22
816117,210,188,22
795010,210,163,47
562101,210,143,67
493888,210,205,5
491336,210,181,29
483770,210,169,41
423701,210,180,30
385320,210,194,16
383315,210,168,42
311604,210,162,48
276137,210,129,81
247775,210,110,100
246746,210,120,90
242407,210,148,62
125051,210,166,44
563131,209,159,50
497226,209,167,42
491668,209,200,9
458775,209,150,59
457226,209,121,88
335051,209,146,63
331304,209,126,83
311404,209,155,54
271503,209,178,31
210206,209,174,35
125050,209,128,81
848209,208,181,27
824125,208,186,22
802301,208,107,101
802215,208,166,42
560091,208,59,149
493221,208,105,103
480888,208,200,8
341025,208,152,56
247232,208,101,107
241301,208,118,90
224181,208,111,97
206241,208,118,90
835103,207,153,54
832404,207,194,13
493891,207,199,8
460110,207,181,26
387620,207,189,18
334603,207,131,76
273158,207,147,60
221101,207,114,93
210120,207,181,26
845452,206,188,18
815313,206,185,21
787031,206,168,38
784164,206,163,43
782002,206,135,71
586104,206,130,76
416702,206,197,9
328022,206,127,79
243301,206,147,59
225126,206,176,30
222201,206,117,89
181201,206,159,47
841436,205,174,31
841301,205,119,86
813221,205,193,12
784176,205,166,39
782425,205,173,32
781321,205,162,43
586101,205,94,111
493441,205,175,30
461990,205,166,39
271122,205,160,45
251314,205,99,106
185201,205,193,12
835219,204,155,49
814156,204,191,13
811314,204,188,16
785692,204,187,17
785602,204,166,38
584111,204,153,51
497235,204,178,26
493228,204,180,24
481885,204,193,11
421503,204,117,87
401208,204,71,133
243302,204,135,69
210207,204,158,46
206252,204,118,86
182101,204,131,73
788152,203,119,84
782450,203,173,30
585328,203,127,76
496334,203,191,12
462010,203,74,129
455116,203,126,77
431605,203,145,58
416416,203,140,63
389180,203,183,20
389172,203,191,12
274408,203,132,71
242225,203,166,37
207241,203,126,77
205261,203,128,75
192232,203,152,51
122108,203,175,28
813205,202,179,23
781367,202,170,32
464884,202,177,25
444107,202,173,29
276305,202,157,45
274202,202,128,74
272152,202,163,39
241201,202,132,70
228145,202,121,81
855102,201,173,28
835102,201,168,33
834001,201,90,111
824211,201,148,53
586128,201,108,93
571105,201,157,44
456001,201,73,128
274149,201,137,64
249193,201,153,48
231226,201,168,33
209214,201,154,47
209115,201,155,46
182125,201,194,7
124507,201,74,127
783125,200,171,29
481115,200,158,42
454010,200,184,16
441106,200,176,24
400043,199,72,127
333026,200,109,91
272201,200,160,40
832104,199,166,33
788119,199,155,44
572137,199,164,35
465687,199,134,65
458883,199,162,37
313804,199,168,31
272208,199,141,58
233222,199,120,79
210505,199,130,69
207245,199,128,71
206243,199,125,74
171210,199,182,17
845449,198,156,42
824202,198,179,19
816108,198,160,38
811315,198,176,22
783324,198,149,49
782426,198,164,34
496554,198,175,23
491557,198,186,12
473885,198,176,22
464224,198,174,24
363641,198,114,84
342037,198,141,57
121002,198,38,160
848117,197,167,30
824101,197,147,50
814147,197,179,18
788801,197,122,75
788720,197,135,62
785631,197,170,27
783131,197,153,44
486666,197,177,20
464886,197,165,32
363520,197,165,32
328025,197,128,69
312901,197,156,41
301026,197,120,77
301024,197,121,76
274306,197,152,45
273304,197,127,70
271401,197,129,68
230129,197,120,77
229206,197,135,62
212206,197,114,83
182146,197,162,35
795141,196,177,19
787061,196,163,33
785105,196,136,60
783346,196,140,56
782460,196,137,59
495691,196,166,30
495559,196,168,28
274303,196,150,46
262202,196,135,61
206129,196,143,53
206121,196,118,78
192129,196,175,21
184201,196,166,30
803116,195,143,52
491558,195,183,12
480331,195,168,27
423401,195,164,31
385120,195,176,19
283104,195,140,55
271502,195,151,44
209204,195,143,52
854204,194,182,12
832101,194,172,22
814111,194,184,10
811307,194,148,46
811101,194,159,35
803107,194,163,31
796321,194,135,59
794106,194,174,20
788723,194,136,58
788701,194,113,81
396050,194,175,19
383001,194,121,73
311603,194,153,41
272163,194,129,65
243202,194,139,55
227813,194,136,58
212635,194,117,77
212303,194,110,84
173029,194,181,13
835206,193,186,7
822121,193,176,17
782482,193,152,41
782435,193,162,31
577527,193,170,23
494449,193,188,5
481882,193,184,9
472115,193,180,13
441902,193,173,20
441601,193,125,68
425413,193,178,15
395003,193,65,128
363310,193,148,45
343001,193,93,100
313301,193,122,71
313038,193,175,18
284202,193,146,47
281205,193,127,66
230304,193,101,92
126116,193,139,54
843324,192,177,15
832302,192,173,19
811317,192,173,19
782481,192,164,28
491340,192,175,17
473781,192,175,17
470666,192,130,62
456224,192,122,70
244301,192,107,85
229309,192,132,60
209825,192,159,33
842001,191,79,112
782140,191,161,30
495692,191,166,25
483119,191,153,38
481664,191,185,6
431708,191,166,25
389170,191,167,24
262524,191,164,27
231205,191,167,24
203393,191,136,55
847402,190,166,24
845101,190,147,43
585101,190,61,129
572129,190,172,18
472111,190,180,10
465333,190,96,94
464331,190,170,20
464111,190,154,36
445302,190,168,22
443001,190,137,53
335803,190,108,82
304505,190,129,61
275202,190,80,110
271602,190,129,61
212631,190,145,45
209111,190,138,52
854325,189,176,13
585326,189,145,44
577548,189,161,28
486445,189,152,37
473770,189,152,37
455332,189,146,43
450116,189,163,26
445304,189,163,26
444105,189,150,39
422605,189,168,21
314801,189,165,24
312619,189,161,28
301405,189,125,64
263601,189,134,55
262902,188,141,47
245304,189,121,68
243123,189,126,63
230132,189,102,87
209302,189,136,53
852122,188,152,36
784125,188,146,42
783350,188,136,52
781372,188,149,39
581110,188,136,52
562105,188,151,37
494114,188,184,4
477445,188,127,61
461661,188,158,30
431714,188,160,28
391160,188,174,14
389350,188,168,20
370001,188,125,63
311804,188,165,23
274301,188,117,71
262501,188,119,69
228159,188,136,52
209501,188,153,35
206303,188,94,94
136135,188,140,48
852139,187,159,28
784160,187,161,26
573201,187,95,92
491885,187,164,23
481222,187,163,24
472221,187,169,18
465550,187,123,64
456550,187,131,56
389001,187,136,51
360004,187,36,151
283201,187,143,44
275205,187,50,137
273407,187,139,48
271851,187,147,40
271825,187,154,33
241302,187,89,98
212652,187,120,67
209859,187,153,34
205135,187,111,76
845418,186,153,33
801503,186,104,82
801301,186,139,47
795001,186,86,100
786610,186,167,19
493559,186,163,23
473793,186,168,18
472336,186,160,26
465683,186,130,56
456771,186,117,69
431504,186,157,29
431005,186,110,76
422403,186,163,23
422208,186,183,3
342022,186,159,27
335704,186,120,66
335701,186,112,74
326038,186,143,43
273302,186,132,54
247551,186,95,91
229306,186,150,36
227809,186,121,65
221715,186,124,62
209739,186,146,40
835202,185,147,38
